iter	MultiClass
918	0.3040873281
919	0.303935955
920	0.3036819552
921	0.3034617038
922	0.3032011051
923	0.3030743916
924	0.3027918032
925	0.3027294822
926	0.3025479899
927	0.3023914175
928	0.3022681518
929	0.3019344907
930	0.301823657
931	0.3015782123
932	0.301396078
933	0.3012153189
934	0.3010145849
935	0.3008445034
936	0.3006236403
937	0.3002921262
938	0.2999977776
939	0.2997257727
940	0.299415985
941	0.29912837
942	0.2989341281
943	0.2987326865
944	0.298391751
945	0.2980499719
946	0.2977401889
947	0.2975497491
948	0.2972691171
949	0.2970711766
950	0.2968893384
951	0.2966708696
952	0.2964730284
953	0.2962537169
954	0.2960289486
955	0.2957202603
956	0.2955399627
957	0.2954414648
958	0.2952377373
959	0.2951091988
960	0.2949654314
961	0.2947086174
962	0.2943953097
963	0.2942713159
964	0.2940384114
965	0.2936510944
966	0.2934288281
967	0.2932492106
968	0.2929233604
969	0.2927846981
970	0.2924139882
971	0.2922632273
972	0.2921159775
973	0.2918893573
974	0.2915836281
975	0.2912430767
976	0.2908941668
977	0.2907273596
978	0.2905700202
979	0.2904675526
980	0.2903326375
981	0.2899952326
982	0.2897162394
983	0.2895641557
984	0.2892688878
985	0.2890182437
986	0.2889403636
987	0.2887849448
988	0.2886580448
989	0.288329611
990	0.288225056
991	0.2880146887
992	0.287920659
993	0.287784302
994	0.2873808125
995	0.2870220741
996	0.2866471689
997	0.2865297059
998	0.2862030239
999	0.285911324
